id,name,segment,url,D1,D2,D3,D4,D5,D6,ca,posture,c2_fit,c3,twilight,verify
columbia-tow,Columbia / Tow Center,journalism-research,https://journalism.columbia.edu/CJS2030/AI,1,2,1,1,2,1,8,Balanced,fits,Both-split,True,ok
ap,Associated Press,journalism,https://ds.svcs.associatedpress.com/standards-around-generative-ai,1,2,1,2,2,2,10,Balanced,fits,Evidential,False,secondary-blocked
harvard,Harvard University,university,https://provost.harvard.edu/guidelines-using-chatgpt-and-other-generative-ai-tools-harvard,1,2,1,1,2,1,8,Balanced,fits,Evidential,True,secondary-wayback-2026-03-28 (live 403; Chrome unavailable this run)
stanford,Stanford University,university,https://communitystandards.stanford.edu/policies-guidance,1,2,2,1,1,2,9,Balanced,fits,Both-split,True,ok
mit,MIT,university,https://ist.mit.edu/ai-guidance,1,2,2,1,1,1,8,Balanced,fits,Evidential,True,ok
umich,University of Michigan,university,https://genai.umich.edu/resources/faculty/course-policies,2,2,1,1,2,2,10,Enabling,fits,Evidential,True,ok
russell-group,Russell Group (UK),university-consortium,https://www.russellgroup.ac.uk/policy/policy-briefings/principles-use-generative-ai-tools-education,1,1,1,1,1,2,7,Enabling,partially,Evidential,False,ok
mla-cccc,MLA-CCCC Task Force,education,https://aiandwriting.hcommons.org/working-paper-1/,2,2,2,1,2,1,10,Balanced,fits,Both-split,False,ok
acm,ACM,computing-society,https://www.acm.org/publications/policies/new-acm-policy-on-authorship,2,2,1,2,2,2,11,Balanced,fits,Both-split,False,secondary-wayback-2026-05-31 (live 403; Chrome unavailable this run)
apa,APA,society-publisher,https://www.apa.org/pubs/journals/resources/publishing-tips/policy-generative-ai,2,2,2,2,2,1,11,Balanced,fits,Both-split,False,ok
yale,Yale University,university,https://provost.yale.edu/news/guidelines-use-generative-ai-tools,1,2,2,1,2,1,9,Balanced,fits,Both-split,False,ok
princeton,Princeton University,university,https://rrr.princeton.edu/students-and-university/24-academic-regulations,2,2,2,2,1,2,11,Balanced,fits,Both-split,False,secondary-wayback-2026-07-20 (live 403; Chrome unavailable this run)
uc-berkeley,"University of California, Berkeley",university,https://oercs.berkeley.edu/appropriate-use-generative-ai-tools,1,1,1,1,1,1,6,Balanced,partially,Evidential,False,ok
cornell,Cornell University,university,https://it.cornell.edu/ai/ai-guidelines,1,2,1,1,2,1,8,Enabling,fits,Both-split,False,ok
carnegie-mellon,Carnegie Mellon University,university,https://www.cmu.edu/teaching/technology/aitools/academicintegrity/index.html,2,2,2,1,2,2,11,Prohibitive,fits,Both-split,False,ok
georgia-tech,Georgia Institute of Technology,university,https://provost.gatech.edu/sites/default/files/2025-10/AI%20Policy_draft_10.14.2025%202.pdf,2,2,2,2,2,2,12,Enabling,fits,Evidential,True,ok
u-toronto,University of Toronto,university,https://www.viceprovostundergrad.utoronto.ca/wp-content/uploads/2024/08/Syllabus-language-for-Gen-AI-2024-08-21.pdf,2,2,2,1,2,2,11,Balanced,fits,Evidential,True,ok
cambridge,University of Cambridge,university,https://www.educationalpolicy.admin.cam.ac.uk/plagiarism-and-academic-misconduct/artificial-intelligence-ai,1,2,2,1,2,1,9,Balanced,fits,Both-split,True,ok
ucl,University College London,university,https://www.ucl.ac.uk/teaching-learning/generative-ai-hub/three-categories-genai-use-assessment,1,2,2,1,2,1,9,Enabling,fits,Both-split,True,ok
asu,Arizona State University,university,https://tlc.sols.asu.edu/teaching/toolkits/syllabus-and-policies-generative-ai,1,2,2,0,2,1,8,Balanced,fits,Both-split,True,ok
cambridge-up,Cambridge University Press,publisher,https://www.cambridge.org/core/services/publishing-ethics/authorship-and-contributorship-journals,1,2,2,1,2,1,9,Balanced,fits,Both-split,False,ok
oxford-up,Oxford University Press,publisher,https://academic.oup.com/pages/for-authors/books/author-use-of-artificial-intelligence,2,2,2,2,2,2,12,Balanced,fits,Evidential,True,ok
sage,SAGE Publishing,publisher,https://www.sagepub.com/journals/publication-ethics-policies/artificial-intelligence-policy,2,2,2,2,2,2,12,Balanced,fits,Evidential,True,primary-live-2026-08-09
ieee,IEEE,computing-society,https://open.ieee.org/author-guidelines-for-artificial-intelligence-ai-generated-text/,2,2,2,2,1,2,11,Balanced,fits,Both-split,False,ok
pnas,PNAS,publisher,https://www.pnas.org/author-center/editorial-and-journal-policies,2,2,2,2,2,2,12,Balanced,fits,Evidential,True,ok
jama,JAMA Network,med-journal,https://jamanetwork.com/journals/jama/fullarticle/2807956,2,2,2,1,1,2,10,Balanced,fits,Both-split,True,ok
nejm,New England Journal of Medicine,med-journal,https://ai.nejm.org/about/editorial-policies,1,2,2,1,2,1,9,Balanced,fits,Both-split,False,ok
wame,World Association of Medical Editors,med-integrity,https://wame.org/page3.php?id=106,2,2,2,2,2,2,12,Balanced,fits,Both-split,True,ok
cse,Council of Science Editors,science-editors,https://www.csescienceeditor.org/article/cse-guidance-on-machine-learning-and-artificial-intelligence-tools/,2,2,2,1,1,2,10,Balanced,fits,Both-split,True,ok
royal-society,The Royal Society,society-publisher,https://royalsociety.org/journals/ethics-policies/openness/,1,2,2,2,2,1,10,Balanced,fits,Both-split,True,ok
bbc,BBC,journalism,https://www.bbc.co.uk/editorialguidelines/guidance/use-of-artificial-intelligence,2,2,2,2,2,2,12,Balanced,fits,Both-split,True,primary-live-2026-08-16
reuters-news,Reuters (news agency),journalism,https://handbook.reuters.com/index.php?title=Standards_and_Values,2,2,1,2,2,2,11,Balanced,fits,Evidential,False,primary-live-2026-07-26
guardian,The Guardian,journalism,https://uploads.guim.co.uk/2026/03/03/Editorial_Code_of_Practice_Guidelines_March2026.pdf,2,2,2,1,2,2,11,Balanced,fits,Both-split,True,ok
nyt,The New York Times,journalism,https://www.nytco.com/press/principles-for-using-generative-a.i.-in-the-timess-newsroom/,2,2,2,2,2,2,12,Prohibitive,fits,Both-split,True,secondary-blocked
spj,Society of Professional Journalists,journalism,https://www.spj.org/spj-code-of-ethics/,2,1,2,1,1,2,9,Balanced,fits,Evidential,False,primary-live-2026-08-09
arl,Association of Research Libraries,library,https://www.arl.org/resources/research-libraries-guiding-principles-for-artificial-intelligence/,1,1,0,1,1,1,5,Enabling,partially,Both-split,True,ok
educause,EDUCAUSE,edtech,https://er.educause.edu/articles/2023/12/cross-campus-approaches-to-building-a-generative-ai-policy,0,1,1,0,0,1,3,Balanced,contradicts,Relational,True,secondary-wayback-2026-05-05 (live 403; Chrome unavailable this run)
unesco,UNESCO — GenAI in education & research,intergov,https://www.unesco.org/en/articles/guidance-generative-ai-education-and-research,1,2,1,2,2,1,9,Prohibitive,partially,Relational,True,primary-live-2026-08-16
oecd,OECD AI Principles,intergov,https://oecd.ai/en/ai-principles,2,2,2,1,1,2,10,Enabling,fits,Evidential,False,ok
us-doe-oet,US Dept of Education (OET),gov-education,https://www.ed.gov/sites/ed/files/documents/ai-report/ai-report.pdf,1,2,1,1,2,1,8,Balanced,partially,Both-split,True,ok
uspto,USPTO — Inventorship Guidance for AI-Assisted Inventions,regulator,https://www.federalregister.gov/documents/2024/02/13/2024-02623/inventorship-guidance-for-ai-assisted-inventions,1,2,1,2,1,1,8,Balanced,fits,Evidential,False,primary-live-2026-08-16
vatican-ddf,Vatican (DDF/DCE) — Antiqua et Nova (2025),faith-institution,https://www.vatican.va/roman_curia/congregations/cfaith/documents/rc_ddf_doc_20250128_antiqua-et-nova_en.html,0,2,1,2,2,1,8,Balanced,partially,Both-split,False,ok
ala,American Library Association,library,https://www.ala.org/sites/default/files/2026-06/ALA%20CD%2044.2%20AI%20Guidance%20Document%20-%20Final.pdf,2,2,2,2,2,2,12,Balanced,fits,Both-split,False,ok
qaa-uk,QAA (UK Quality Assurance Agency),gov-education,https://www.qaa.ac.uk/sector-resources/generative-artificial-intelligence/qaa-advice-and-resources,1,2,1,1,1,2,8,Enabling,partially,Both-split,True,ok
wga,"Writers Guild of America — 2023 MBA, AI provisions",labor-union,https://www.wga.org/contracts/know-your-rights/artificial-intelligence,1,2,2,2,2,0,9,Prohibitive,contradicts,Relational,False,ok
china-cac,Cyberspace Administration of China — Interim Measures for Generative AI Services,regulator,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,2,2,2,2,1,1,10,Balanced,contradicts,Neither,False,ok
us-copyright-office,U.S. Copyright Office,regulator,https://www.copyright.gov/ai/ai_policy_guidance.pdf,1,2,2,1,0,1,7,Balanced,contradicts,Neither,False,primary-live-2026-07-26
annals-mathematics,Annals of Mathematics (Princeton University & IAS),publisher,https://annals.math.princeton.edu/submission-guidelines,2,2,2,1,2,1,10,Balanced,contradicts,Both-split,False,primary-live-2026-08-16
uk-judiciary,UK Courts and Tribunals Judiciary — AI Guidance for Judicial Office Holders,courts-legal,https://www.judiciary.uk/wp-content/uploads/2025/04/Refreshed-AI-Guidance-published-version.pdf,1,2,1,2,2,2,10,Balanced,fits,Both-split,False,ok
nhs-england,NHS England — AI-enabled ambient scribing guidance,healthcare-provider,https://www.england.nhs.uk/long-read/guidance-on-the-use-of-ai-enabled-ambient-scribing-products-in-health-and-care-settings/,2,2,2,1,2,2,11,Balanced,fits,Both-split,False,ok
calbar,State Bar of California — Practical Guidance for Generative AI in the Practice of Law,professional-licensing,https://www.calbar.ca.gov/Portals/0/documents/ethics/Generative-AI-Practical-Guidance.pdf,2,2,1,2,2,2,11,Balanced,fits,Both-split,False,ok
esma,ESMA — Public Statement on AI in retail investment services,financial-regulator,https://www.esma.europa.eu/sites/default/files/2024-05/ESMA35-335435667-5924__Public_Statement_on_AI_and_investment_services.pdf,2,2,2,1,1,2,10,Balanced,fits,Both-split,False,ok
ama,"American Medical Association — Augmented Intelligence Development, Deployment, and Use in Health Care",medical-association,https://www.ama-assn.org/system/files/ama-ai-principles.pdf,2,2,2,2,2,2,12,Balanced,fits,Both-split,True,primary-live-2026-08-09
actuarial-standards-board,Actuarial Standards Board — ASOP No. 56 (Modeling),standards-body,http://www.actuarialstandardsboard.org/asops/modeling-3/,2,2,2,0,2,2,10,Enabling,partially,Evidential,False,primary-live-2026-08-09
easa,EASA — Concept Paper: Guidance for Level 1&2 Machine Learning Applications,aviation-regulator,https://www.easa.europa.eu/en/downloads/137631/en,2,1,2,0,2,2,9,Balanced,fits,Evidential,True,primary-live-2026-08-16
naic,NAIC — Model Bulletin on the Use of Artificial Intelligence Systems by Insurers,insurance-regulator,https://content.naic.org/sites/default/files/inline-files/2023-12-4%20Model%20Bulletin_Adopted_0.pdf,2,2,2,1,1,2,10,Enabling,contradicts,Evidential,False,primary-live-2026-08-16
spc-china,Supreme People's Court of China — Opinions on Regulating and Strengthening the Applications of AI in the Judicial Fields (2022),courts-legal,https://www.chinajusticeobserver.com/law/x/the-supreme-people-s-court-the-opinions-on-regulating-and-strengthening-the-applications-of-artificial-intelligence-in-the-judicial-field-20221208,2,2,1,0,2,2,9,Enabling,fits,Both-split,False,translated-secondary-2026-08-16
imda-pdpc,IMDA / PDPC Singapore — Model AI Governance Framework (2nd edition),data-protection-regulator,https://www.pdpc.gov.sg/-/media/Files/PDPC/PDF-Files/Resource-for-Organisation/AI/SGModelAIGovFramework2.pdf,1,1,1,0,1,1,5,Enabling,contradicts,Both-split,True,primary-live-2026-08-16
